Season,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
2022,"Ty Blach","COL",44.1,,,3.8544649650391785,,,0.6697608746990965,,-10.83063796034147,,,-3.5709103978605885,,,"Ty Blach",14361,621389
2022,"Luis Perdomo","MIL",23.2,,,,-2.4528969686640347,,1.0868066234979779,0.7819873787745645,,,,,,,"Luis Perdomo",14682,606131
2022,"Miguel Castro","NYY",29,,,,,,-1.5065241043293287,0.004088386245395826,,,,-0.02790953119083778,,,"Miguel Castro",15684,612434
2022,"Ryan Borucki","- - -",25.1,,,,,,0.8266392522133313,-2.884236747631803,,,,-2.6670461803998635,,,"Ryan Borucki",16350,621366
2022,"Erick Fedde","WSN",127,,,-0.10713029357706305,,,-0.6323931918057225,,-1.5106335525163435,,,-3.4095424580676803,,,"Erick Fedde",17425,607200
2022,"Justin Lawrence","COL",42.2,,,,,,-0.3891835152890507,-0.3833634697162268,,,,,,,"Justin Lawrence",17639,664875
2022,"Dillon Tate","BAL",73.2,,,-3.6094389855861664,,,2.941791138247303,-1.486596731005105,,,,-1.1875343683641404,,,"Dillon Tate",17796,622253
2022,"Trevor Kelley","MIL",23.2,,,,,,0.19303024635981705,-7.600120739325096,-2.2273781621812754,,,-6.776566096934779,,,"Trevor Kelley",18454,665001
2022,"Bryan Garcia","DET",20.1,,,,,,0.24547803048522043,-1.374746357401212,,,,3.3320829532174177,,,"Bryan Garcia",19457,650530
2022,"Sean Poppen","ARI",28.2,,,,,,0.6439585313746781,-2.511188096755388,,,,-7.491046165426572,,,"Sean Poppen",19583,664092
2022,"Calvin Faucher","TBR",21.1,,,,,,0.0687032594610859,-0.5471057296951407,-5.344225469355782,,,,,,"Calvin Faucher",20116,676534
2022,"Zach Pop","- - -",39,,,,,,0.6788318190108803,0.7212155330620829,,,,-4.738526791334152,,,"Zach Pop",20185,647315
2022,"Cristopher Sánchez","PHI",40,,,,,,-0.2563545203740054,-0.9132495880126953,,,,-0.09814220711700898,,,"Cristopher Sanchez",20778,650911
2022,"Adrián Martínez","OAK",57.2,,,,,,-2.12179011065666,0.3569230736632432,,,,-0.3007135074585676,,,"Adrian Martinez",21023,661309
2022,"Jake Bird","COL",47.2,,,-1.3384850735571934,,,0.365272548136323,,-1.7296996577519232,,,1.6046531746784845,,,"Jake Bird",21267,656234
2022,"Camilo Doval","SFG",67.2,,,-1.8537521515698996,,,0.2519017193874676,2.3015128448605537,,,,,,,"Camilo Doval",21992,666808
2022,"John King","TEX",51.1,,,-5.605551128142646,,,0.42291187481688597,-1.214074304905431,,,,1.4746347099945352,,,"John King",22051,667463
2022,"Collin Snider","KCR",34.1,,,,,,-1.4567033341810318,0.47161017945553696,,,,-0.1320719210938974,,,"Collin Snider",23307,676092
2022,"Justin Bruihl","LAD",23.2,,,-0.0271407218480652,,,1.6847150083982718,-2.197896963094964,,,,,,,"Justin Bruihl",23779,677865
2022,"Graham Ashcraft","CIN",105,,,0.4564882285129653,,,-1.4336839972718343,-1.1023926489963,,,,-11.41154294212659,,,"Graham Ashcraft",27552,668933
