Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2014,"Matt Cain","SFG",90.1,0.3777933,,,,,0.12988827,0.19553073,0.12639665,,,0.17039106,,,,"Matt Cain",4732,430912
2014,"Sergio Santos","TOR",21,0.4950495,,0.01732673,,,,0.38366337,,,,0.1039604,,,,"Sergio Santos",4734,435045
2014,"Jonathan Broxton","- - -",58.2,0.60777778,,,,,0.17222222,0.20666667,0.01111111,,,0.00222222,,,,"Jonathan Broxton",4759,455009
2014,"Félix Hernández","SEA",236,0.14369159,,,,,0.27920561,0.08060748,0.16296729,,,0.33352804,,,,"Felix Hernandez",4772,433587
2014,"Matt Shoemaker","LAA",136,0.27494033,,,,,0.23389021,0.16372315,,0.09212411,,0.2353222,,,,"Matt Shoemaker",4776,533167
2014,"Brandon Maurer","SEA",69.2,0.39103139,,,,,0.11569507,0.29147982,0.04932735,,,0.15246637,,,,"Brandon Maurer",4878,543506
2014,"Scott Kazmir","OAK",190.1,0.02251344,,0.07694892,,,0.51512097,0.12701613,0.06182796,,,0.19657258,,,,"Scott Kazmir",4897,431148
2014,"Jon Lester","- - -",219.2,0.45030077,,0.26210255,,,0.09481524,,0.1638499,,,0.02893154,,,,"Jon Lester",4930,452657
2014,"Justin De Fratus","PHI",52.2,0.42892157,,,,,0.08210784,0.44240196,,,,0.04656863,,,,"Justin De Fratus",4955,518603
2014,"Fernando Salas","LAA",58.2,0.57883369,,,,,0.01403888,,,0.16198704,,0.24514039,,,,"Fernando Salas",4971,477569
2014,"Cole Hamels","PHI",204.2,0.5001599,,0.13271506,,,0.04509114,,0.09497921,,,0.22705469,,,,"Cole Hamels",4972,430935
2014,"Fernando Abad","OAK",57.1,0.27171216,,0.00744417,,,0.38337469,,,0.27047146,,0.06699752,,,,"Fernando Abad",4994,472551
2014,"Jake Diekman","PHI",71,,,,,,0.70932922,0.28758674,,,,0.00308404,,,,"Jake Diekman",5003,518617
