Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2024,"Corbin Burnes","BAL",194.1,,,1.0433136959090066,,,-7.073873495339324,4.944048319777397,5.537742626574612,,,-8.227145929711103,,,"Corbin Burnes",19361,669203
2024,"Keegan Akin","BAL",78.2,6.38343637589928,,,,,,-1.4518897788038532,,,,9.423183156483208,,,"Keegan Akin",19362,669211
2024,"Walker Buehler","LAD",75.1,-2.811041133919942,,2.1455820207115557,,,-8.207081086045012,7.463874396376722,,5.839338779449463,,-7.677962593410326,,,"Walker Buehler",19374,621111
2024,"Colin Poche","TBR",37.1,-0.7890595307221284,,,,,,-2.960425228052746,,,,,,,"Colin Poche",19403,621363
2024,"Ronel Blanco","HOU",167.1,-4.468670386725693,,,,,,0.7390054329332099,5.025128582651301,,,-7.92039660403603,,,"Ronel Blanco",19407,669854
2024,"Dane Dunning","TEX",95,-5.0235668023427325,,-0.8679826844413325,,-9.239215850830078,-9.192403925289899,0.6589066669194386,,5.503547475307802,,-10.711676285730155,,,"Dane Dunning",19409,641540
2024,"Yohan Ramírez","- - -",45,-6.876899490060732,,,,,-10.54378757229099,9.321848942683292,6.672233988937823,,,,,,"Yohan Ramirez",19444,670990
2024,"Patrick Sandoval","LAA",79.2,4.233103302134064,,,,,7.7052152717255975,-4.833753509160757,-6.023733285757212,,,8.31128586300428,,,"Patrick Sandoval",19447,663776
2024,"Jorge Alcala","MIN",58.1,-6.242190462871663,,,,,-9.218996756417411,1.3147252400716145,,,,-9.588129965107093,,,"Jorge Alcala",19459,660896
2024,"Aaron Civale","- - -",161,-3.124798423365543,,1.8531029177754603,-9.437921877260562,,-8.285451551064137,8.940245886870017,7.208310674152103,,,,,,"Aaron Civale",19479,650644
2024,"Tyler Ferguson","OAK",51.1,-6.582715770866297,,-0.2459317364738983,,,-10.266600198585893,4.699106396727301,,,,-9.485269165039062,,,"Tyler Ferguson",19481,621053
2024,"Jason Foley","DET",60,-7.395316459037162,,,,,-9.94161888860887,0.5904164632161458,,,,-9.104625244140625,,,"Jason Foley",19531,671345
2024,"David Bednar","PIT",57.2,-5.012421943772007,,,-4.778615067644817,,,,4.581829746374103,,,,,,"David Bednar",19569,670280
2024,"JoJo Romero","STL",59,6.352700705056662,,,,,10.552081519846796,-6.143755790514824,,,,9.12017938893312,,,"JoJo Romero",19574,668941
2024,"Cionel Pérez","BAL",53.2,4.094952304967853,,,,,8.856559984611742,-7.152449996383102,,,,,,,"Cionel Perez",19614,672335
2024,"Jordan Hicks","SFG",109.2,-6.604326680021466,,,-3.551307800947501,,-9.649514334542411,6.229209430151937,,,,,,,"Jordan Hicks",19618,663855
2024,"Gregory Soto","- - -",53,7.099547394609029,,3.6102981567382812,,,10.374556261727772,-1.6495682769620479,,,,,,,"Gregory Soto",19677,642397
2024,"Sixto Sánchez","MIA",35.2,-4.958022741369299,,2.712586895549467,,,-10.048435465494792,,,,,-10.306327467698317,,,"Sixto Sanchez",19680,664350
2024,"Anthony Bender","MIA",53,-3.8300315661308093,,,,,-10.791380419808585,7.32194611210151,,,,-9.569820919552365,,,"Anthony Bender",19742,669622
2024,"Will Vest","DET",70.1,-5.951010239655338,,,,,-9.337509364297945,2.923387991004731,,,,-9.327540347450658,,,"Will Vest",19769,676684
2024,"Keegan Thompson","CHC",30.1,-1.841080665588379,,2.572824737172068,,,-5.38524670071072,6.76542498614337,5.272657813095465,,,-3.881171544392904,,,"Keegan Thompson",19795,624522
2024,"Bryan Baker","BAL",23.1,-1.6650960511265538,,,,,,3.754304445706881,2.5017816880170036,,,-7.798531326593137,,,"Bryan Baker",19804,641329
2024,"Gerson Garabito","TEX",26.1,-3.791231461757205,,,,,-9.050630457261029,1.0813727875550587,6.318527130309693,,,-8.641919320089775,,,"Gerson Garabito",19835,642520
2024,"Michael King","SDP",173.2,-4.271991811596784,,,,,-10.315131772406483,5.982849640253733,,,,-10.8459281332864,,,"Michael King",19853,650633
2024,"Brandon Bielak","- - -",29.2,-3.2797349457047944,,,,,-8.236737755255971,6.0892335966035915,2.279702242682962,,,-8.843543683978874,,,"Brandon Bielak",19866,656232
2024,"Griffin Canning","LAA",171.2,-5.085053536712958,,,,,-8.55728040422712,-0.6633398695504198,6.530659960461901,,,-9.80029410567938,,,"Griffin Canning",19867,656288
2024,"Alex Faedo","DET",57.1,-5.183111675715042,,,,,-9.077362343117043,1.1649926742515468,,,,-9.857873382568359,,,"Alex Faedo",19874,656412
2024,"Kevin Ginkel","ARI",70,-6.340283918846702,,,,,-9.173453422214674,1.5847723321600276,,,,,,,"Kevin Ginkel",19876,656464
2024,"Tanner Houck","BOS",178.2,,,-0.4554875373840332,-8.260786053709499,,-9.680773305084745,8.76246477122016,,,,,,,"Tanner Houck",19879,656557
